Player,Team,Position,Price,PricedAt,Breakeven,LastSeason,Owned
Kiara Bowers,Fremantle,Midfielder,"$194,700",115,115,115,22.5
Ebony Marinoff,Adelaide Crows,Midfielder,"$176,200",104,104,104,44.4
Ashleigh Riddell,Kangaroos,Midfielder,"$173,800",103,103,103,16.2
Anne Hatchard,Adelaide Crows,Midfielder,"$173,500",103,103,103,20.4
Emily Bates,Brisbane Lions,Midfielder,"$153,000",90,90,91,11.3
Hayley Miller,Fremantle,Midfielder,"$151,900",90,90,90,2.4
Jasmine Garner,Kangaroos,Forward,"$151,000",89,89,89,19.1
Jaimee Lambert,Collingwood,Midfielder,"$150,300",89,89,89,2.7
Emma Swanson,West Coast Eagles,Midfielder,"$149,600",88,88,88,1.7
Tilly Lucas-Rodd,Hawthorn,Midfielder,"$148,100",88,88,88,10.6
Monique Conti,Richmond,Midfielder,"$144,600",86,86,86,8.4
Brittany Bonnici,Collingwood,Midfielder,"$141,600",84,84,84,0.3
Lily Mithen,Melbourne,Midfielder,"$139,800",83,83,83,0.8
Gabby O'Sullivan,Fremantle,Forward,"$135,100",80,80,80,8.3
Ellie Blackburn,Western Bulldogs,Midfielder,"$135,100",80,80,80,3.1
Alicia Eva,GWS Giants,Midfielder,"$134,300",79,79,79,0.7
Amy McDonald,Geelong Cats,Midfielder,"$134,100",79,79,79,0.5
Tyla Hanks,Melbourne,Forward,"$129,600",77,77,77,18.9
Erin Phillips,Port Adelaide,Forward,"$128,500",76,76,76,18.9
Alyce Parker,GWS Giants,Midfielder,"$126,800",75,75,75,4
Kirsty Lamb,Western Bulldogs,Midfielder,"$125,300",74,74,74,0.6
Rebecca Beeson,GWS Giants,Midfielder,"$122,400",72,72,57,0.1
Breann Moody,Carlton,Ruck,"$121,400",72,72,72,5.7
Rebecca Webster,Geelong Cats,Midfielder,"$121,400",72,72,72,0.4
Ruby Schleicher,Collingwood,Defender,"$120,700",71,71,71,35.2
Alison Drennan,Gold Coast Suns,Midfielder,"$120,700",71,71,71,0.5
Karen Paxman,Melbourne,Midfielder,"$120,600",71,71,71,0.9
Madison Prespakis,Essendon,Midfielder,"$119,900",71,71,71,6.2
Mimi Hill,Carlton,Midfielder,"$119,200",70,70,71,3.5
Brianna Davey,Collingwood,Midfielder,"$119,200",70,70,77,0.5
Jenna Bruton,Kangaroos,Midfielder,"$119,000",70,70,70,0.2
Tarni White,St Kilda,Midfielder,"$117,800",70,70,70,0.7
Emma Kearney,Kangaroos,Defender,"$116,900",69,69,69,22.6
Gabrielle Seymour,Richmond,Ruck,"$114,600",68,68,68,1.4
Charlie Rowbottom,Gold Coast Suns,Midfielder,"$114,300",68,68,68,4.6
Catherine Phillips,Essendon,Midfielder,"$114,000",67,67,67,0.3
Mia King,Kangaroos,Midfielder,"$110,600",65,65,65,0.3
Orla O'Dwyer,Brisbane Lions,Midfielder,"$110,100",65,65,65,0.9
Alexandra Anderson,Brisbane Lions,Midfielder,"$109,700",65,65,65,0.3
Jamie Stanton,Gold Coast Suns,Midfielder,"$109,200",65,65,65,0.2
Dana Hooker,West Coast Eagles,Midfielder,"$108,600",64,64,64,0.6
Georgia Patrikios,St Kilda,Midfielder,"$106,500",63,63,0,38.8
